repo_url,repo_name,reason_skipped,current_hash,commits_used,commits_walked,commits_total,rtl_dir,dv_dir,test_cmd
https://github.com/openhwgroup/cv32e40x-dv,cv32e40x-dv,wrong HDL: primary language is Assembly,,,,2339,,,
https://github.com/openhwgroup/uap,uap,not enough Verilog/SV (<5%),,,,196,,,
https://github.com/openhwgroup/cv32e40s-dv,cv32e40s-dv,wrong HDL: primary language is Assembly,,,,1317,,,
https://github.com/openhwgroup/core-v-mcu-commonio,core-v-mcu-commonio,not enough Verilog/SV (<5%),,,,1,,,
https://github.com/openhwgroup/core-v-mcu-sdk-examples,core-v-mcu-sdk-examples,not enough Verilog/SV (<5%),,,,18,,,
https://github.com/openhwgroup/cva6-platform,cva6-platform,not enough Verilog/SV (<5%),,,,14,,,
https://github.com/openhwgroup/core-v-trusted-mcu,core-v-trusted-mcu,archived,,,,1,,,
https://github.com/openhwgroup/cv-mesh,cv-mesh,,,,,132,,,
https://github.com/openhwgroup/cv32e20-dv,cv32e20-dv,wrong HDL: primary language is Assembly,,,,160,,,
https://github.com/openhwgroup/cv-hpdcache-verif,cv-hpdcache-verif,,,,,20,,,
https://github.com/openhwgroup/cvw-arch-verif,cvw-arch-verif,,,,,2994,,,
https://github.com/openhwgroup/cvfpu-uvm,cvfpu-uvm,,,,,27,,,
https://github.com/openhwgroup/cva6-safe,cva6-safe,not enough commits (8),,,,8,,,
https://github.com/openhwgroup/cv32e40p-dv-review,cv32e40p-dv-review,wrong HDL: primary language is Assembly,,,,175,,,
https://github.com/openhwgroup/core-et,core-et,,,,,25,,,
https://github.com/openhwgroup/core-et-erbium,core-et-erbium,API error: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/openhwgroup/core-et-erbium,,,,,,,
https://github.com/openhwgroup/cva6-dcls,cva6-dcls,API error: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/openhwgroup/cva6-dcls,,,,,,,
https://github.com/YosysHQ/yosys,yosys,,,,,17178,,,
https://github.com/YosysHQ/yosys-oldtests,yosys-oldtests,,,,,18,,,
https://github.com/YosysHQ/VlogHammer,VlogHammer,,,,,312,,,
https://github.com/YosysHQ/yosys-web,yosys-web,not enough Verilog/SV (<5%),,,,219,,,
https://github.com/YosysHQ/yosys-bigsim,yosys-bigsim,,,,,81,,,
https://github.com/YosysHQ/yosys-plugins,yosys-plugins,not enough Verilog/SV (<5%),,,,24,,,
https://github.com/YosysHQ/arachne-pnr,arachne-pnr,not enough Verilog/SV (<5%),,,,328,,,
https://github.com/YosysHQ/picorv32,picorv32,,bfba9b3eb34bfd9cc5d516153ddc960a44f7c5f2,11,609,610,picorv32.v,testbench.v,bash problems/YosysHQ/picorv32/run_tests.sh
https://github.com/YosysHQ/icestorm,icestorm,not enough Verilog/SV (<5%),,,,851,,,
https://github.com/YosysHQ/sby,sby,not enough Verilog/SV (<5%),,,,810,,,
https://github.com/YosysHQ/yosys-bench,yosys-bench,,,,,182,,,
https://github.com/YosysHQ/yosys-tests,yosys-tests,,,,,586,,,
https://github.com/YosysHQ/prjtrellis,prjtrellis,,,,,1288,,,
https://github.com/YosysHQ/prjtrellis-db,prjtrellis-db,not enough Verilog/SV (<5%),,,,330,,,
https://github.com/YosysHQ/nextpnr,nextpnr,not enough Verilog/SV (<5%),,,,5145,,,
https://github.com/YosysHQ/nextpnr-bench,nextpnr-bench,,,,,53,,,
https://github.com/YosysHQ/Sublime-Yosys,Sublime-Yosys,not enough Verilog/SV (<5%),,,,5,,,
https://github.com/YosysHQ/sby-gui,sby-gui,not enough Verilog/SV (<5%),,,,105,,,
https://github.com/YosysHQ/nextpnr-tests,nextpnr-tests,,,,,78,,,
https://github.com/YosysHQ/padring,padring,not enough Verilog/SV (<5%),,,,33,,,
https://github.com/YosysHQ/mcy,mcy,not enough Verilog/SV (<5%),,,,315,,,
https://github.com/YosysHQ/apicula,apicula,,,,,984,,,
https://github.com/YosysHQ/abc,abc,fork,,,,6266,,,
https://github.com/YosysHQ/fpga-toolchain,fpga-toolchain,archived,,,,322,,,
https://github.com/YosysHQ/yosyshq.github.io,yosyshq.github.io,not enough Verilog/SV (<5%),,,,27,,,
https://github.com/YosysHQ/eqy,eqy,not enough Verilog/SV (<5%),,,,344,,,
https://github.com/YosysHQ/pyosys-tests,pyosys-tests,wrong HDL: primary language is Python,,,,6,,,
https://github.com/YosysHQ/oss-cad-suite-build,oss-cad-suite-build,not enough Verilog/SV (<5%),,,,774,,,
https://github.com/YosysHQ/riscv-formal,riscv-formal,,,,,649,,,
https://github.com/YosysHQ/nerv,nerv,,d49bdd3dd0f6f3f545fb7b21ed9b35953c64dda0,1,147,148,nerv.sv,testbench.sv,bash problems/YosysHQ/nerv/run_tests.sh
https://github.com/YosysHQ/MARLANN,MARLANN,fork,,,,187,,,
https://github.com/YosysHQ/setup-oss-cad-suite,setup-oss-cad-suite,not enough Verilog/SV (<5%),,,,59,,,
https://github.com/YosysHQ/yosys-manual-build,yosys-manual-build,archived,,,,3,,,
https://github.com/YosysHQ/scy,scy,,,,,116,,,
https://github.com/YosysHQ/.github,.github,not enough Verilog/SV (<5%),,,,9,,,
https://github.com/YosysHQ/test-actions,test-actions,,,,,16715,,,
https://github.com/YosysHQ/mau,mau,not enough Verilog/SV (<5%),,,,96,,,
https://github.com/YosysHQ/furo-ys,furo-ys,fork,,,,1476,,,
https://github.com/YosysHQ/imctk,imctk,not enough Verilog/SV (<5%),,,,161,,,
https://github.com/YosysHQ/prjpeppercorn,prjpeppercorn,not enough Verilog/SV (<5%),,,,216,,,
https://github.com/YosysHQ/prjpeppercorn-test-cases,prjpeppercorn-test-cases,,,,,271,,,
https://github.com/YosysHQ/rtlil-mlir,rtlil-mlir,not enough Verilog/SV (<5%),,,,43,,,
https://github.com/YosysHQ/yosys-perf,yosys-perf,not enough Verilog/SV (<5%),,,,29,,,
https://github.com/YosysHQ/property-ir,property-ir,not enough Verilog/SV (<5%),,,,132,,,
https://github.com/YosysHQ/reports,reports,not enough Verilog/SV (<5%),,,,10,,,
https://github.com/secworks/sha256,,,,,,,src/rtl,src/tb,bash problems/secworks/sha256/run_tests.sh
https://github.com/alexforencich/verilog-lfsr,,,,,,,rtl,tb,bash problems/alexforencich/verilog-lfsr/run_tests.sh
https://github.com/corundum/corundum,,,,,,,fpga/common/rtl,fpga/common/tb,bash problems/corundum/corundum/run_cmac_pad.sh
https://github.com/ZipCPU/arrowzip,arrowzip,,,,,37,,,
https://github.com/ZipCPU/autofpga,autofpga,bad license: GPL-3.0,,,,304,,,
https://github.com/ZipCPU/autofpga-demo,autofpga-demo,,,,,25,,,
https://github.com/ZipCPU/axidmacheck,axidmacheck,,,,,16,,,
https://github.com/ZipCPU/cordic,cordic,,,,,41,,,
https://github.com/ZipCPU/cputest-harness,cputest-harness,not enough Verilog/SV (<5%),,,,15,,,
https://github.com/ZipCPU/dbgbus,dbgbus,,,,,67,,,
https://github.com/ultraembedded/.github,.github,not enough Verilog/SV (<5%),,,,2,,,
https://github.com/ZipCPU/dblclockfft,dblclockfft,GPL/LGPL-3.0 in source files,,,,109,,,
https://github.com/ultraembedded/altor32,altor32,bad license: LGPL-3.0,,,,7,,,
https://github.com/ZipCPU/debouncer,debouncer,,,,,11,,,
https://github.com/ultraembedded/armv6m-sim,armv6m-sim,bad license: GPL-3.0,,,,6,,,
https://github.com/ZipCPU/dpll,dpll,,,,,26,,,
https://github.com/ultraembedded/biriscv,biriscv,no isolatable bug-fix commits — history is mega-squashed vX releases; bug fixes also do not touch DV (commit walker found 0 candidates),,,36,37,src,tb/tb_core_icarus,bash problems/ultraembedded/biriscv/run_tests.sh
https://github.com/ZipCPU/dspfilters,dspfilters,,,,,108,,,
https://github.com/ultraembedded/busybox,busybox,fork,,,,16228,,,
https://github.com/ZipCPU/eth10g,eth10g,bad license: GPL-3.0,,,,247,,,
https://github.com/ultraembedded/cores,cores,,,,,54,,,
https://github.com/ZipCPU/fftdemo,fftdemo,,,,,28,,,
https://github.com/ultraembedded/core_audio,core_audio,bad license: GPL-2.0,,,,3,,,
